code,name,description,refreshed_at,from_date,to_date
CBOE_VX2,"S&P 500 Volatility Index VIX Futures, Continuous Contract #2 (VX2)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2005-11-17,2020-02-19
CBOE_VX3,"S&P 500 Volatility Index VIX Futures, Continuous Contract #3 (VX3)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2006-10-19,2020-02-19
CBOE_VX4,"S&P 500 Volatility Index VIX Futures, Continuous Contract #4 (VX4)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2006-09-21,2020-02-19
CBOE_VX5,"S&P 500 Volatility Index VIX Futures, Continuous Contract #5 (VX5)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2006-08-17,2020-02-19
CBOE_VX6,"S&P 500 Volatility Index VIX Futures, Continuous Contract #6 (VX6)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2007-07-19,2020-02-19
CBOE_VX7,"S&P 500 Volatility Index VIX Futures, Continuous Contract #7 (VX7)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #7. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2007-06-21,2020-02-19
CBOE_VX8,"S&P 500 Volatility Index VIX Futures, Continuous Contract #8 (VX8)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #8. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2011-05-19,2020-02-19
CBOE_VX9,"S&P 500 Volatility Index VIX Futures, Continuous Contract #9 (VX9)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #9. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2013-04-18,2020-02-19
CBOE_VXEW1,"Brazil Volatility Index Futures, May 2015, Continuous Contract #1 (VXEW1) (Front Month)","Historical Futures Prices: Brazil Volatility Index Futures, May 2015, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:49,2012-02-21,2015-05-20
CBOE_VXEW2,"Brazil Volatility Index Futures, April 2015, Continuous Contract #2 (VXEW2)","Historical Futures Prices: Brazil Volatility Index Futures, April 2015, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:38,2012-02-21,2015-04-17
